source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
83793,75553,6,42.365,39.400,40.379,8.726,9.085,18.992,17.831,17.867,8.614,8.892
83793,91052,6,40.944,41.778,41.187,2.260,2.016,19.245,18.225,22.046,2.401,2.155
83793,91052,6,41.135,41.566,40.530,2.201,2.025,19.322,18.649,18.563,2.204,2.021
83793,138603,6,42.122,40.039,40.841,2.197,2.020,18.753,18.152,18.128,2.253,2.116
83793,138603,6,54.682,50.463,48.425,2.228,2.006,23.704,20.990,20.427,2.207,2.653
83793,56739,7,50.919,50.821,52.990,2.345,2.609,25.039,21.603,24.282,2.342,2.118
83793,56739,7,50.613,48.171,49.019,2.273,2.121,21.971,21.091,20.253,2.259,2.046
83793,80957,7,51.498,47.427,45.981,4.435,4.282,22.540,21.604,21.485,4.799,5.388
83793,80957,7,46.692,47.031,47.065,5.224,4.243,20.897,19.837,21.613,4.268,4.216
83793,93826,7,72.896,67.165,54.551,4.479,4.334,21.704,22.111,21.177,4.669,4.537
83793,93826,7,47.460,47.232,57.295,4.726,4.575,22.895,20.790,20.312,5.220,4.492
83793,61067,8,45.771,42.603,42.021,4.416,4.236,20.221,20.079,19.609,4.395,4.370
83793,61067,8,44.618,47.729,49.841,4.964,4.282,20.292,18.972,18.260,4.309,4.078
83793,64126,8,43.981,41.906,44.716,4.798,4.441,21.936,18.856,19.026,4.338,4.243
83793,64126,8,41.375,41.805,42.778,4.460,4.349,21.550,19.843,20.173,4.592,4.984
83793,42303,8,45.076,44.857,41.316,4.223,4.063,18.507,17.538,17.735,4.188,4.048
83793,42303,8,38.783,38.707,38.492,4.269,4.048,18.784,17.547,20.753,4.538,5.806
83793,49742,9,40.511,39.046,38.197,2.209,2.012,18.442,17.497,17.999,2.340,2.132
83793,49742,9,39.484,38.458,40.979,2.244,2.051,18.425,17.690,17.461,2.174,2.016
83793,152093,9,38.402,38.577,38.763,4.259,4.211,23.003,19.292,17.622,4.191,4.048
83793,152093,9,39.443,40.114,38.462,4.196,4.046,19.115,22.506,19.706,4.261,4.099
83793,16276,9,39.211,42.792,38.521,2.207,2.023,21.374,18.604,17.549,2.199,2.004
83793,16276,9,38.646,39.138,41.470,2.257,2.015,22.566,20.308,17.921,2.191,2.012
83793,81611,10,39.238,43.400,39.292,2.239,2.014,19.798,21.894,18.140,2.170,2.055
83793,81611,10,40.166,39.615,41.658,2.200,2.021,18.832,17.748,17.537,2.191,2.010
83793,697,10,40.738,48.331,56.348,2.487,2.284,22.802,23.856,21.147,2.204,2.012
83793,697,10,39.467,39.847,38.914,2.221,2.053,19.227,24.128,20.097,2.278,2.010
83793,43357,10,38.221,44.964,38.309,2.198,2.013,18.336,18.620,17.822,2.224,2.057
83793,43357,10,38.235,44.327,39.771,2.810,2.274,18.818,17.675,17.626,2.219,2.014
112535,33114,1,53.024,52.565,55.364,472.236,480.482,18.770,18.576,20.640,448.416,450.334
112535,33114,1,41.696,39.524,38.888,456.187,480.354,19.747,25.742,21.696,501.742,521.549
112535,2920,1,61.077,52.810,59.847,91.245,94.584,19.223,21.067,21.862,105.258,88.745
112535,2920,1,57.463,51.961,45.584,96.214,88.162,27.295,27.350,21.488,107.914,99.384
112535,26588,1,41.684,52.871,64.856,23.218,34.500,31.240,27.745,33.003,30.324,29.638
112535,26588,1,69.771,56.285,47.222,19.731,19.959,20.736,20.043,20.299,18.442,19.822
112535,101306,2,41.971,39.345,38.472,17.965,19.003,19.484,17.643,17.688,17.825,19.052
112535,101306,2,39.936,39.560,39.726,18.484,19.003,18.982,17.654,17.531,17.772,19.029
112535,113847,2,39.610,40.164,39.377,2.201,2.026,19.331,17.620,17.637,2.215,2.040
112535,113847,2,38.706,38.858,38.573,2.215,2.026,18.728,17.689,17.579,2.192,2.056
112535,53327,2,38.435,39.361,38.633,4.400,4.326,18.648,17.800,17.621,4.334,4.351
112535,53327,2,39.453,41.117,44.900,4.408,4.204,22.001,20.497,19.911,4.266,4.671
