source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87560,46115,79,13.891,13.913,12.698,13.485
87560,34819,79,15.841,14.884,13.772,14.675
87560,34819,79,15.392,15.304,14.008,14.388
87560,80953,80,14.674,14.450,13.597,14.239
87560,80953,80,14.195,14.303,14.259,13.937
87560,3267,80,14.310,14.281,12.684,14.124
87560,3267,80,13.682,13.937,12.698,13.725
87560,6524,80,13.652,14.163,12.686,15.884
87560,6524,80,14.484,14.538,12.911,31.352
87560,90349,81,14.158,15.597,13.143,14.579
87560,90349,81,15.744,14.028,13.033,14.457
87560,20495,81,14.407,14.404,13.198,13.947
87560,20495,81,14.418,14.667,12.756,13.951
87560,872,81,21.567,14.766,13.628,14.580
87560,872,81,15.113,15.022,13.605,17.123
87560,791,82,25.720,25.629,18.195,14.589
87560,791,82,14.622,15.433,13.858,15.581
87560,13039,82,14.558,14.742,14.622,16.985
87560,13039,82,14.681,14.774,13.633,14.381
87560,34205,82,14.923,20.221,15.651,27.652
87560,34205,82,17.932,14.781,13.371,14.131
87560,69149,83,14.806,14.515,13.349,14.069
87560,69149,83,14.495,14.325,13.005,13.899
87560,31877,83,14.453,13.960,12.486,13.401
87560,31877,83,13.933,13.902,13.448,14.333
87560,8374,83,14.692,14.106,12.900,14.036
87560,8374,83,13.858,14.090,12.888,16.553
87560,13889,84,16.047,15.427,14.906,16.193
87560,13889,84,17.932,23.376,16.591,20.306
87560,99560,84,17.324,18.668,16.253,17.962
87560,99560,84,20.169,17.747,16.094,18.002
87560,4266,84,20.069,18.534,16.651,19.086
87560,4266,84,24.736,23.062,21.114,18.030
87560,71738,85,16.809,19.552,15.026,15.998
87560,71738,85,16.061,16.123,17.305,15.971
87560,54247,85,15.289,15.509,13.941,18.049
87560,54247,85,16.313,15.531,15.164,15.057
87560,91616,85,14.765,16.058,13.496,14.619
87560,91616,85,16.272,21.251,16.622,20.148
87560,58786,86,14.566,14.733,13.370,16.525
87560,58786,86,19.079,14.768,13.345,14.180
87560,56970,86,14.197,14.524,12.881,14.483
87560,56970,86,13.736,14.214,13.233,14.213
87560,87108,86,14.109,13.783,12.497,13.591
87560,87108,86,13.946,14.102,12.624,13.717
87560,31013,87,15.359,13.638,12.464,13.343
87560,31013,87,15.835,13.672,12.903,16.064
87560,96671,87,21.034,14.914,13.148,13.952
87560,96671,87,14.224,16.518,13.037,13.887
87560,84387,87,14.546,15.364,12.908,15.845
87560,84387,87,15.274,16.093,14.206,14.209
87560,4242,88,14.674,14.320,18.847,14.804
87560,4242,88,15.768,14.515,12.903,13.643
87560,51505,88,16.834,14.825,13.053,14.390
87560,51505,88,14.311,14.240,12.817,13.730
87560,36162,88,21.746,18.994,17.479,24.192
87560,36162,88,15.917,15.611,13.856,14.773
87560,25141,89,17.778,21.253,18.631,24.075
87560,25141,89,35.070,33.336,19.380,17.598
87560,66328,89,18.036,17.098,15.781,17.840
87560,66328,89,22.909,24.853,21.101,19.330
87560,96339,89,22.295,24.498,16.473,19.103
87560,96339,89,27.105,18.615,16.940,17.720
87560,43063,90,17.683,21.022,18.361,18.575
87560,43063,90,18.526,18.514,21.976,22.017
87560,97720,90,17.025,17.244,15.844,16.481
87560,97720,90,16.192,16.819,19.912,17.223
87560,47127,90,16.222,16.171,14.794,15.625
87560,47127,90,15.362,15.659,15.009,16.392
87560,1004,91,18.972,16.511,14.259,15.531
87560,1004,91,15.490,17.803,15.590,17.920
87560,24187,91,15.213,14.984,13.720,15.030
87560,24187,91,14.906,14.728,13.356,14.417
87560,86157,91,14.318,14.408,13.169,14.495
87560,86157,91,14.472,14.130,13.006,14.261
87560,93823,92,14.048,14.129,12.762,13.478
87560,93823,92,13.915,14.025,12.961,13.523
87560,694,92,19.895,27.055,13.064,13.781
87560,694,92,14.334,14.199,14.181,14.136
87560,29027,92,13.897,14.163,12.778,13.737
87560,29027,92,14.065,13.868,13.243,18.221
87560,20103,93,13.904,13.977,12.855,13.802
87560,20103,93,14.543,14.569,12.660,13.824
87560,30051,93,13.527,13.928,12.466,13.496
87560,30051,93,13.418,13.809,12.988,13.932
87560,66029,93,14.684,13.596,12.295,13.384
87560,66029,93,13.594,13.852,12.483,13.455
87560,56841,94,13.568,14.238,13.097,13.993
87560,56841,94,14.533,15.041,13.363,14.902
87560,16862,94,15.865,15.053,13.679,21.657
87560,16862,94,23.220,16.092,13.811,14.840
87560,53392,94,20.921,20.510,15.076,17.882
87560,53392,94,16.443,15.960,15.150,15.900
87560,68718,95,14.916,16.899,13.842,14.583
87560,68718,95,14.873,14.699,13.416,14.844
87560,2465,95,13.797,14.178,13.356,14.020
87560,2465,95,14.113,14.691,12.832,17.563
87560,66775,95,16.365,18.183,13.562,14.657
87560,66775,95,14.771,21.618,17.043,15.156
87560,60585,96,14.644,14.994,15.771,18.047
